,class,song_title,artist,id,mfcc0,mfcc1,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc2,mfcc20,mfcc21,mfcc22,mfcc23,mfcc24,mfcc25,mfcc26,mfcc27,mfcc28,mfcc29,mfcc3,mfcc30,mfcc31,mfcc32,mfcc33,mfcc34,mfcc35,mfcc36,mfcc37,mfcc38,mfcc39,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9
0,traditional,Amarillo By Morning,George Strait,4TnUKixNWMfajncgdSwFoi,-135.18515,104.02468,-9.363051,11.191999,-6.687014,6.136169,-4.693755,6.2253323,-9.998153,5.1235867,-9.599457,0.80323756,-20.562006,-8.3864765,2.0368867,-9.183359,-0.9167387,-4.9203014,0.5801043,-3.5678556,1.7938637,-2.1723175,-1.970312,33.220333,-4.738715,-1.5928638,-2.8075316,1.9391457,0.23416445,-0.58320075,-3.7893982,-0.19310947,-0.3516034,-0.4164868,-9.573008,18.8504,-7.869511,13.100018,-17.027992,13.382063
1,traditional,Dust On The Bottle,David Lee Murphy,0Xg68XXMRWzKQvD5S6BFvI,-84.161194,78.854645,-9.368034,10.582238,-9.677765,8.474355,-12.953914,5.821068,-11.259188,7.8939295,-8.523567,2.8409827,-21.721392,-7.0424776,3.9389534,-9.088712,6.4896812,-5.4363804,-0.3578511,-4.0001135,6.0042243,-0.101474985,5.363542,27.064348,-5.545334,-3.7791064,-5.5304384,2.3487926,1.8205631,3.3229082,-2.2378795,-2.5970879,-2.5198522,1.3093443,1.4881692,18.707312,-14.884079,19.520359,-10.103744,16.727943
2,traditional,Song of the South,Alabama,2uX5f3x2cObov0iDAPln4o,-28.912786,89.49197,-9.468133,11.1554785,-11.1191025,5.287623,-8.009061,7.267649,-11.376176,1.1018772,-10.080456,3.238369,-8.492714,-7.5093575,4.407541,-3.446561,-1.0489234,-4.7966046,-1.6132132,-3.226215,-2.097192,-6.020516,-0.31994396,30.477636,-0.89093745,4.9917727,-0.115292445,-0.24871413,-4.260224,-3.1212683,-4.978655,-1.1942635,-1.4257609,-1.3631512,-17.181406,18.752203,-14.652349,20.00728,-12.046756,13.179341
3,traditional,Must Be The Whiskey,Cody Jinks,6VChAU4QENeLwf3OaHBJxC,3.6143546,102.380005,-6.93506,11.114397,-7.05841,8.610462,-8.715465,10.140284,-8.266826,5.1392827,-4.8219147,6.4050603,-34.32954,-7.863847,4.5767193,-6.0114217,-0.46296528,-7.2630916,1.9781549,-5.7838454,0.83654934,-4.172297,2.1772227,28.415327,-2.1205215,-1.2514316,-5.54635,1.1623625,1.3935444,2.4188974,1.2526957,1.3460823,-0.39578244,-2.2352908,-3.2419202,16.219229,-10.397497,20.578775,-8.799915,12.789948
4,traditional,Little Bitty,Alan Jackson,2IY559smG7SXYk229NA2Vl,-44.001984,81.137726,-8.171578,12.365984,-9.470945,9.089442,-7.989546,10.119598,-8.714499,11.609484,-7.7745585,2.4075663,-17.354897,-6.6702523,9.316229,-10.740881,-0.39683476,-5.65949,-0.7048357,-5.1119323,5.62145,-2.4861646,-2.1524763,37.89481,-7.816264,2.4968822,0.76998997,-0.75921845,-4.7853956,-1.4858769,-5.5557437,-0.19381459,-4.99469,-1.3409455,-5.1536636,12.110589,-10.331416,16.249416,-14.853097,11.989281
5,traditional,Your Man,Josh Turner,1WzAeadSKJhqykZFbJNmQv,-21.948475,120.406235,-16.650034,5.5684977,-11.882586,2.0918994,-8.990725,8.197018,-7.845446,0.2858295,-10.237556,0.14451878,-14.672865,-13.143346,1.4698049,-8.294455,0.17252135,-5.525225,0.9953069,-5.210357,-1.6444389,-2.4670897,-0.16199873,37.303665,-3.989434,0.14523892,-5.192001,-1.7297586,-2.78353,-1.0102974,-0.62189966,2.561461,-3.578926,-3.3267846,1.323759,12.075015,-10.629175,16.64405,-13.502154,10.733917
6,traditional,Neon Moon,Brooks & Dunn,3EUl8M6SzxZl03NPkB8mUd,-68.4318,118.48295,-13.650141,3.4324465,-11.690974,0.3223676,-9.891191,4.7725925,-13.242706,1.6884068,-6.6941757,0.6107475,-17.100794,-7.5218744,0.33560133,-9.518436,-1.7783248,-1.9888071,3.230886,-0.78626394,-0.8512838,-6.5652785,-2.2361352,40.054447,-1.6274337,-0.76616716,0.07370888,-1.6293758,-7.1886325,-5.0519,-4.814042,-1.0563118,-2.758786,-2.434492,2.3643992,9.591139,-10.065198,9.279614,-17.528448,8.94462
7,traditional,Chattahoochee,Alan Jackson,59kHPbwyyCApYA8RQQEuXm,-79.32034,103.409805,-10.34793,3.5287428,-6.509918,6.3396697,-11.036288,6.9275875,-10.153205,4.524873,-8.885308,4.263607,-23.235529,-8.931304,3.1519623,-9.470399,-1.0684224,-4.5246725,1.8655134,-0.18047637,4.921581,-4.4560122,-2.8530526,42.79611,-4.8392053,2.447872,-1.796224,0.8799943,-2.7475352,0.45174313,-2.814084,0.486075,-1.117127,-0.6490467,-0.021218268,9.016168,-11.76766,15.235028,-16.057037,11.679818
8,traditional,It's A Great Day To Be Alive,Travis Tritt,3oW6SWwGqiZSPTiAp7ZQoH,-15.657188,101.815285,-12.456021,8.629539,-8.429244,11.150407,-5.3118,13.676029,-4.816579,8.782863,-5.3011284,3.4272091,-21.623749,-9.185727,2.9426885,-3.291847,5.628167,-3.7798924,0.13692267,-7.4260283,0.21760437,-3.3880823,2.0458262,39.335144,-3.154535,-2.6058655,-5.4803925,-0.8314128,-0.75389725,2.9493303,-6.0393004,-5.669609,-5.6672554,-3.9834237,-9.329486,18.345362,-14.830758,14.6754875,-9.687872,12.7597685
9,traditional,Head Over Boots,Jon Pardi,4ly1QBXEwYoDmje9rmEgC4,11.716727,101.18161,-7.758779,13.31949,-11.917121,9.019749,-9.39756,7.9576283,-10.382442,6.9074283,-3.45604,2.362917,-19.493387,-7.9532075,3.3405702,-3.635498,0.54792523,-6.557386,1.4533695,-3.2369068,1.6070464,-1.7191552,1.6195724,41.15802,-2.6481953,-0.18903859,-4.0212903,0.28862563,-1.2417234,0.7568838,-2.105675,-2.766515,-3.0185766,-1.9419494,-11.7957535,22.800478,-13.765914,14.405136,-10.636229,8.1332655
10,traditional,Write This Down,George Strait,1TanmIWbaUj5NVwJ3k4XPd,-66.112816,113.41776,-12.6412325,9.687172,-7.173306,6.878196,-5.091775,9.021173,-8.003526,6.5472984,-6.1873364,4.162941,-21.640362,-7.6958733,3.3485997,-6.7585397,1.9707435,-2.1405177,0.4728857,-3.4224768,0.9385571,-1.2230455,0.88373953,40.336456,-4.094812,-1.0521506,0.8739474,2.1428964,-1.4046632,-1.6016018,-4.06283,-3.3379147,-2.0244315,-3.258569,1.6325336,18.896805,-7.098049,16.422375,-13.362843,14.0729065
11,traditional,Gone Country,Alan Jackson,1A0I5aiVZRwecRlbQcweBh,-65.42818,107.57568,-12.1570635,6.994151,-11.481424,3.17269,-5.459284,10.293283,-5.9516373,9.238325,-5.81822,2.7605007,-15.699031,-9.413602,3.7128112,-8.784273,2.8622272,-3.5804212,3.6865714,-6.0702686,0.86933714,-4.364984,2.2959068,35.545868,-4.66508,-2.4764674,-2.9677029,1.6219475,2.721037,4.5753126,-2.7340977,-0.9798093,-4.824381,-4.167377,5.4644985,16.777534,-13.023311,18.989159,-10.920838,12.048037
