,id,song_title,artist,mp3,genre,votes
0,4TnUKixNWMfajncgdSwFoi,Amarillo By Morning,George Strait,https://p.scdn.co/mp3-preview/507af339821b35db27435073a9268f201b9c8a68?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,5.0
1,0Xg68XXMRWzKQvD5S6BFvI,Dust On The Bottle,David Lee Murphy,https://p.scdn.co/mp3-preview/27441bddcd0541396c2b9e32195931fa8b1f2c87?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,5.0
2,2uX5f3x2cObov0iDAPln4o,Song of the South,Alabama,https://p.scdn.co/mp3-preview/61e3be9a4d4d14d62b6e1e240c1d725cb4bfe39f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
4,6VChAU4QENeLwf3OaHBJxC,Must Be The Whiskey,Cody Jinks,https://p.scdn.co/mp3-preview/27f02d8042a2f65025aadb3114f522f80d7124c9?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
5,2IY559smG7SXYk229NA2Vl,Little Bitty,Alan Jackson,https://p.scdn.co/mp3-preview/906100e7688a53befdcfcc024366489d9683be3e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
6,1WzAeadSKJhqykZFbJNmQv,Your Man,Josh Turner,https://p.scdn.co/mp3-preview/38f24c3bf84a4d862906b7d7b9e99bfcae705999?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
7,3EUl8M6SzxZl03NPkB8mUd,Neon Moon,Brooks & Dunn,https://p.scdn.co/mp3-preview/92f4b2550d85fd60a6f3159a4390f4fa5849c71c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
8,59kHPbwyyCApYA8RQQEuXm,Chattahoochee,Alan Jackson,https://p.scdn.co/mp3-preview/579390892fc6bf8bb3b8a9ed84fe24c3de497cd6?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
9,3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,Travis Tritt,https://p.scdn.co/mp3-preview/729b1c3a256728c12e912f8cfb0603b114509e30?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
10,4ly1QBXEwYoDmje9rmEgC4,Head Over Boots,Jon Pardi,https://p.scdn.co/mp3-preview/140ab2bd40867bf1f15c2e922a7a97f594baabcf?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
3,1TanmIWbaUj5NVwJ3k4XPd,Write This Down,George Strait,https://p.scdn.co/mp3-preview/bf6a58e3096a5d333a970064b4b447314f6ca920?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0
45,1A0I5aiVZRwecRlbQcweBh,Gone Country,Alan Jackson,https://p.scdn.co/mp3-preview/f7af22070ee0a0481941c7f9ebe235df9505ffbe?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
49,7Fq9RwQxSn3kW85PrDUf0M,Boot Scootin' Boogie,Brooks & Dunn,https://p.scdn.co/mp3-preview/f142add509e946fc8e3581b546ca998fd7ba9570?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
48,1GwfKxtZb6JAr9lXa7b383,Shot Glass,Randall King,https://p.scdn.co/mp3-preview/086b53e83b0cacbab9ea5d4050e0a1189008ded8?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
47,3hV8Gvijx6cVv339o3uCSK,Summertime Blues,Alan Jackson,https://p.scdn.co/mp3-preview/24d8ce366c35a68ff31b87516b40867f17b55c57?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
46,6iy4PoAuZBMvtrlDX4VxC7,Check Yes Or No,George Strait,https://p.scdn.co/mp3-preview/e5004925ef1049832511c8274db1dda8bc49418a?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
40,13rC4iKtfQocWIfzPOJxaT,'Til You Can't,Cody Johnson,https://p.scdn.co/mp3-preview/56cd0203132b54cf4d0ac9a20ecb35070786cced?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
44,19MkwMrRjO7773zpuGss1o,Shake the Frost (Live),Tyler Childers,https://p.scdn.co/mp3-preview/049e48285409622cc39d16a337fe066158edef7f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
43,18BajNiyvH6GpYshB0unrm,Should've Been A Cowboy,Toby Keith,https://p.scdn.co/mp3-preview/baafcd312d347a0297536c93a61f2c2afcb48c34?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
42,178OI1A3qjROeFeh8lmNwW,Traveller,Chris Stapleton,https://p.scdn.co/mp3-preview/fa3ccea7b7b8c88c019665a58eefee22e2c748a4?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
41,3OjNkFFZavF89xvRqWCXmU,On My Way to You,Cody Johnson,https://p.scdn.co/mp3-preview/eac446b4693dcfc5c7b59067695941a72f4042e3?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
52,383Xl5QTigwj3QiA3Qc6S7,The Devil Went Down to Georgia,The Charlie Daniels Band,https://p.scdn.co/mp3-preview/dc388f31b123d91e050ff79cfe558ba617227bec?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0
