,Unnamed: 0,id,song_title,artist,mp3,genre,votes,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
0,0,4TnUKixNWMfajncgdSwFoi,Amarillo By Morning,George Strait,https://p.scdn.co/mp3-preview/507af339821b35db27435073a9268f201b9c8a68?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,5.0,0.606,0.361,9,-16.031,1,0.0346,0.264,3.39e-05,0.38,0.621,121.059,173467,4
1,1,0Xg68XXMRWzKQvD5S6BFvI,Dust On The Bottle,David Lee Murphy,https://p.scdn.co/mp3-preview/27441bddcd0541396c2b9e32195931fa8b1f2c87?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,5.0,0.736,0.614,11,-11.124,1,0.0389,0.0237,5.84e-06,0.292,0.858,99.942,224667,4
2,2,6VChAU4QENeLwf3OaHBJxC,Must Be The Whiskey,Cody Jinks,https://p.scdn.co/mp3-preview/27f02d8042a2f65025aadb3114f522f80d7124c9?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.546,0.786,3,-5.06,0,0.0401,0.0915,8.67e-05,0.168,0.679,126.003,205333,4
3,3,3EUl8M6SzxZl03NPkB8mUd,Neon Moon,Brooks & Dunn,https://p.scdn.co/mp3-preview/92f4b2550d85fd60a6f3159a4390f4fa5849c71c?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.698,0.632,9,-6.508,1,0.0247,0.554,0.0,0.118,0.458,102.408,263760,4
4,4,3oW6SWwGqiZSPTiAp7ZQoH,It's A Great Day To Be Alive,Travis Tritt,https://p.scdn.co/mp3-preview/729b1c3a256728c12e912f8cfb0603b114509e30?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.595,0.653,7,-4.935,1,0.0265,0.246,0.0,0.264,0.542,128.93,241533,4
5,5,1TanmIWbaUj5NVwJ3k4XPd,Write This Down,George Strait,https://p.scdn.co/mp3-preview/bf6a58e3096a5d333a970064b4b447314f6ca920?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.729,0.688,3,-7.468,1,0.0264,0.127,9.44e-06,0.295,0.671,123.867,219600,4
6,6,2IY559smG7SXYk229NA2Vl,Little Bitty,Alan Jackson,https://p.scdn.co/mp3-preview/906100e7688a53befdcfcc024366489d9683be3e?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.571,0.818,4,-6.539,1,0.0415,0.151,0.0,0.348,0.728,163.045,158627,4
7,7,4ly1QBXEwYoDmje9rmEgC4,Head Over Boots,Jon Pardi,https://p.scdn.co/mp3-preview/140ab2bd40867bf1f15c2e922a7a97f594baabcf?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.563,0.688,7,-4.474,1,0.0262,0.0763,0.0,0.0863,0.622,108.008,202347,4
8,8,59kHPbwyyCApYA8RQQEuXm,Chattahoochee,Alan Jackson,https://p.scdn.co/mp3-preview/579390892fc6bf8bb3b8a9ed84fe24c3de497cd6?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.606,0.706,0,-9.665,1,0.0379,0.362,0.0,0.16,0.819,174.533,148160,4
9,9,2uX5f3x2cObov0iDAPln4o,Song of the South,Alabama,https://p.scdn.co/mp3-preview/61e3be9a4d4d14d62b6e1e240c1d725cb4bfe39f?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.486,0.633,9,-8.414,1,0.0365,0.176,0.0,0.312,0.669,162.158,190800,4
10,10,1WzAeadSKJhqykZFbJNmQv,Your Man,Josh Turner,https://p.scdn.co/mp3-preview/38f24c3bf84a4d862906b7d7b9e99bfcae705999?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,4.0,0.744,0.637,6,-4.483,1,0.0241,0.337,0.000222,0.0696,0.785,100.511,211893,4
11,11,6iy4PoAuZBMvtrlDX4VxC7,Check Yes Or No,George Strait,https://p.scdn.co/mp3-preview/e5004925ef1049832511c8274db1dda8bc49418a?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.708,0.524,5,-12.644,1,0.0352,0.0551,3.21e-06,0.0371,0.69,111.482,200667,4
12,12,26iYJEimPCE0ozDlpj0UFN,Livin' On Love,Alan Jackson,https://p.scdn.co/mp3-preview/c0ad50cfb867a205b5781ea4114ad9e10758006b?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.705,0.669,9,-5.974,1,0.0262,0.163,3.41e-06,0.0966,0.673,118.539,228733,4
13,13,2gJj6WtAxXjApMs3PXsCeX,Heavy Eyes,Zach Bryan,https://p.scdn.co/mp3-preview/4bc2afe73b4e2ce5de35bdd125672e0fe29b49b5?cid=e0b8bdf6c58f487db4c9c4fe2f924e7b,traditional,3.0,0.471,0.912,5,-3.032,1,0.0724,0.032,0.0,0.343,0.613,139.667,190780,4
